no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
34-12406;3412406;S6 18.148 E106 51.168;;;Jakarta;47.8;34.8;82.6;Plumpang
34-12407;3412407;S6 16.948 E106 47.478;;;Jakarta;43;43.9;86.9;Plumpang
34-12409;3412409;S6 18.563 E106 46.849;;;Jakarta;43.8;37.6;81.4;Plumpang
34-12410 (Dex);3412410;S6 18.246 E106 46.911;;;Jakarta;45.3;37;82.3;Plumpang
34-12411;3412411;S6 15.798 E106 47.209;;;Jakarta;44.8;44.3;89.1;Plumpang
34-12412;3412412;S6 17.559 E106 47.644;;;Jakarta;39.2;32.5;71.7;Plumpang
34-12502;3412502;S6 18.006 E106 50.106;;;Jakarta;29.3;30.5;59.8;Plumpang
34-12503;3412503;S6 16.434 E106 50.797;;;Jakarta;31.6;29.7;61.3;Plumpang
34-12504;3412504;S6 16.872 E106 49.171;;;Jakarta;37.8;30.7;68.5;Plumpang
34-12505;3412505;S6 18.227 E106 50.423;;;Jakarta;37.9;26.8;64.7;Plumpang
34-12506;3412506;S6 17.502 E106 48.704;;;Jakarta;37.2;31.2;68.4;Plumpang
34-12507;3412507;S6 17.787 E106 48.908;;;Jakarta;34;34.6;68.6;Plumpang
34-12508;3412508;S6 19.617 E106 49.351;;;Jakarta;39;36.5;75.5;Plumpang
34-12509;3412509;S6 17.223 E106 49.558;;;Jakarta;29.1;29.4;58.5;Plumpang
34-12510;3412510;S6 17.749 E106 49.520;;;Jakarta;32.2;28.5;60.7;Plumpang
34-12512;3412512;S6 17.420 E106 49.415;;;Jakarta;27.4;28.3;55.7;Plumpang
34-12601;3412601;S6 20.582 E106 49.087;;;Jakarta;47.7;42.2;89.9;Plumpang
34-12602;3412602;S6 19.118 E106 50.256;;;Jakarta;36.3;28.5;64.8;Plumpang
34-12603;3412603;S6 19.238 E106 50.227;;;Jakarta;36;28.7;64.7;Plumpang
34-12604;3412604;S6 18.030 E106 50.432;;;Jakarta;33.7;33;66.7;Plumpang
34-12605;3412605;S6 18.749 E106 50.207;;;Jakarta;55.4;49.8;105.2;Plumpang
34-12606;3412606;S6 20.037 E106 48.386;;;Jakarta;51.2;48.2;99.4;Plumpang
34-12608;3412608;S6 19.730 E106 49.526;;;Jakarta;46.5;41;87.5;Plumpang
34-12609;3412609;S6 18.818 E106 48.753;;;Jakarta;47.4;44.4;91.8;Plumpang
34-12610;3412610;S6 21.228 E106 48.646;;;Jakarta;49.2;43.7;92.9;Plumpang
34-12611;3412611;S6 20.987 E106 48.116;;;Jakarta;53.2;50.2;103.4;Plumpang
34-12701 (Dex);3412701;S6 15.698 E106 49.740;;;Jakarta;31.3;34.4;65.7;Plumpang
34-12702;3412702;S6 14.377 E106 49.570;;;Jakarta;12.4;15.9;28.3;Plumpang
34-12703 (Dex);3412703;S6 14.829 E106 50.541;;;Jakarta;28.6;23.6;52.2;Plumpang
34-12706;3412706;S6 14.850 E106 49.608;;;Jakarta;30.2;25.2;55.4;Plumpang
34-12707;3412707;S6 14.694 E106 50.557;;;Jakarta;27.2;23.5;50.7;Plumpang
34-12804;3412804;S6 14.140 E106 50.672;;;Jakarta;28;17.6;45.6;Plumpang
34-12805;3412805;S6 13.524 E106 50.476;;;Jakarta;31.2;16.9;48.1;Plumpang
34-12806;3412806;S6 14.319 E106 50.654;;;Jakarta;28.9;22.7;51.6;Plumpang
34-12901;3412901;S6 12.770 E106 50.663;;;Jakarta;25.2;31.2;56.4;Plumpang
34-12902;3412902;S6 13.979 E106 49.347;;;Jakarta;29.6;28;57.6;Plumpang
34-13101;3413101;S6 11.774 E106 52.438;;;Jakarta;16.9;8.8;25.7;Plumpang
34-13102;3413102;S6 12.146 E106 51.383;;;Jakarta;17.2;13;30.2;Plumpang
34-13103;3413103;S6 12.302 E106 51.454;;;Jakarta;17.5;12.7;30.2;Plumpang
34-13202;3413202;S6 10.792 E106 54.205;;;Jakarta;15.3;8.8;24.1;Plumpang
34-13203;3413203;S6 11.004 E106 53.466;;;Jakarta;14.9;10.7;25.6;Plumpang
34-13205;3413205;S6 10.416 E106 53.465;;;Jakarta;14.3;7.4;21.7;Plumpang
34-13206;3413206;S6 11.635 E106 53.234;;;Jakarta;16.3;10.1;26.4;Plumpang
34-13208 (Dex);3413208;S6 11.807 E106 52.481;;;Jakarta;16.7;8.6;25.3;Plumpang
34-13209;3413209;S6 11.563 E106 52.941;;;Jakarta;15.8;8.7;24.5;Plumpang
34-13210;3413210;S6 11.569 E106 52.575;;;Jakarta;14.9;8.3;23.2;Plumpang
34-13302;3413302;S6 14.036 E106 52.586;;;Jakarta;18.8;15;33.8;Plumpang
34-13304;3413304;S6 13.310 E106 52.446;;;Jakarta;17.5;13.5;31;Plumpang
34-13306;3413306;S6 13.187 E106 52.064;;;Jakarta;19.1;12.5;31.6;Plumpang
34-13307;3413307;S6 12.878 E106 51.741;;;Jakarta;19;13.4;32.4;Plumpang
34-13401;3413401;S6 14.842 E106 54.686;;;Jakarta;24.8;18.4;43.2;Plumpang
34-13402;3413402;S6 14.565 E106 54.115;;;Jakarta;9.8;13.8;23.6;Plumpang
34-13403;3413403;S6 14.309 E106 53.948;;;Jakarta;18;20.6;38.6;Plumpang
